time,x_LK,y_LK,x_RK,y_RK,x_LA,y_LA,x_RA,y_RA,,,,,,
8.569139,72.26951985,366.7802316,210.1094358,419.6636749,116.5529814,445.3841652,181.1947501,494.1487567,,147.636381,80.97248696,90.2197503,,0
8.607888,72.26951985,366.7802316,210.1094358,419.6636749,116.5529814,445.3841652,181.1947501,494.1487567,,147.636381,80.97248696,90.2197503,,-2064.062666
8.631544,107.96894,386.1286707,219.7628891,419.1462868,154.9943952,471.1597915,181.7485409,488.9788272,,116.5677916,32.14502054,97.16833302,,-32.13935381
8.669975,165.0279859,422.2701088,210.4863433,422.8618601,157.4377014,475.8930037,181.6278955,495.1350088,,45.46220878,30.90987303,54.15743048,,695.7313371
8.694016,124.8547886,397.0402177,218.1830238,415.2754514,163.5703429,474.166388,206.8735181,494.0162938,,95.09302411,47.63595011,86.29797385,,-585.6197101
8.728405,160.4794656,418.7077456,202.4723751,416.3559019,169.1968438,476.1011597,193.3451255,489.2521887,,42.0587163,27.4970739,58.05167237,,-283.976272
8.754126,81.46332381,363.6953961,82.26670796,335.4146401,151.6535255,450.5783758,169.5148156,459.9979481,,28.29216475,20.1929202,111.6929567,,148.1445323
8.789065,73.86232369,354.766271,79.42371413,343.2836819,146.2364725,452.3163911,170.2406448,460.5251018,,12.75848408,25.36894202,121.4662231,,102.4045427
8.840647,79.17303776,371.3123556,214.8146811,404.8302605,149.0240645,472.4135533,177.6397966,483.3969176,,139.7215279,30.65117314,122.8845723,,0
8.866412,79.17303776,371.3123556,214.8146811,404.8302605,149.0240645,472.4135533,177.6397966,483.3969176,,139.7215279,30.65117314,122.8845723,,-155.0118641
8.903896,88.41975468,383.5078353,110.6142464,387.578201,150.8633648,479.5967215,174.843085,486.0800705,,22.56464801,24.84070843,114.5961539,,-690.1165107
8.927488,210.209524,420.1711454,101.4441155,400.1719814,179.9889424,494.7287284,171.4860279,493.7463141,,110.5887908,8.559479707,80.44946697,,754.9405719
8.964856,113.7158013,406.2829827,122.4937302,411.9944294,150.4669071,489.5076909,184.8235728,502.6095878,,10.47247149,36.770099,90.97799642,,-1148.19541
8.987463,129.1356282,413.776675,132.4171062,421.4386248,168.8316779,510.7331058,179.5994194,509.7465117,,8.33508084,10.81284537,104.7679619,,174.6069878
9.043169,147.7833741,413.6152952,174.167604,416.3141415,154.6018703,513.6686451,174.7174429,517.8201377,,26.52190338,20.53950223,100.2854163,,-233.6955963
9.066774,154.3909974,409.5271842,172.6852239,421.0636932,160.5596805,512.0875258,175.0886506,515.9089251,,21.62798565,15.02311768,102.7456876,,0
9.105156,154.3909974,409.5271842,172.6852239,421.0636932,160.5596805,512.0875258,175.0886506,515.9089251,,21.62798565,15.02311768,102.7456876,,102.461517
9.139408,148.2895907,411.2174353,179.8617993,414.6833582,159.2475719,509.4425994,176.6095232,515.9249605,,31.76187931,18.53262956,98.83450923,,577.908428
9.166242,147.6102718,415.0387205,174.2750068,418.6749149,149.9544587,502.1212305,181.4947486,514.9254089,,26.91152174,34.04022432,87.11405604,,195.916631
9.192096,129.1130951,406.719776,181.8294397,413.9564461,145.0108296,498.1598447,182.3472839,509.7885001,,53.21073559,39.10545289,92.81176717,,-712.9283239
9.227345,140.2965026,403.4248085,171.6428099,410.3994787,163.332738,491.8964692,149.6674558,488.9684916,,32.11287913,13.97544241,91.42156687,,56.58637972
9.264726,168.2610158,413.8688974,174.4355507,412.5963643,160.5444431,495.9820343,171.6353812,507.6397206,,6.304301843,16.09069787,82.47492192,,-277.4809261
