time	x_LK	y_LK	x_RK	y_RK	x_LA	y_LA	x_RA	y_RA	x_LW	y_LW	x_RW	y_RW	
14.960714	173.3021682	419.608615	210.3290294	417.9096623	192.2063473	516.1179171	204.6464996	513.8142175	96.41495167	194.8726289	84.74075496	194.5443405	11.67881167
14.988479	176.7143992	415.3150839	212.212579	417.109413	193.6319765	507.526865	205.2469145	510.3928669	120.3320502	207.8973887	78.31138284	198.7656744	43.00144993
15.025694	188.1203642	412.4063716	212.0000532	417.838073	200.9781584	496.9994452	190.8025672	494.2510488	129.4739102	216.4793972	132.526656	224.609888	8.68470709
15.065248	175.807355	413.2231502	211.7524547	414.3045127	190.3567683	504.167604	194.1229557	502.3917802	112.3647252	217.9306375	100.7427195	222.0545241	12.33196894
15.09399	179.8586834	413.1550568	215.1768452	414.5296541	191.0693169	504.9603295	187.2226487	502.5412664	106.6717268	229.1907641	98.60851243	227.1645299	8.313907085
15.131207	147.6110697	406.7231958	181.9888436	414.1482247	180.5346395	508.7518619	181.6031964	507.8773635	105.6850757	241.6524425	100.5011058	237.2963468	6.771197403
15.160062	158.1470772	414.8192029	201.1012357	422.1240044	173.6531607	512.0101988	179.7854602	511.7137722	138.855256	268.881152	164.2830435	278.5899881	27.21826374
15.198539	167.8143619	418.2896857	178.3548722	418.1461272	167.9141081	508.0340695	184.4915035	516.719624	132.9087693	292.0999324	128.9426336	288.488836	5.363790556
15.224113	160.5040886	420.4988828	177.1012813	419.6756065	159.1050774	508.385024	178.8579159	514.8266127	131.6227277	289.6218575	127.109204	284.0916829	7.138258021
15.26455	164.3508139	412.1750365	169.0321012	411.6117081	176.7893513	506.6975848	173.7017989	506.4446665	132.8956978	303.6013117	128.5568724	294.739748	9.866748058
15.293222	139.1100932	405.1693975	149.6574812	409.610249	172.7641089	502.0614588	172.0130487	506.6160779	140.4556785	312.6396066	127.0782162	306.0879552	14.89565823
15.32857	115.832054	416.5770534	143.177305	415.4984649	110.1804741	456.4210314	175.9755935	504.0387889	144.1897001	302.6980104	129.3615865	297.4140283	15.74145545
15.355434	115.832054	416.5770534	143.177305	415.4984649	110.1804741	456.4210314	175.9755935	504.0387889	144.1897001	302.6980104	129.3615865	297.4140283	15.74145545
15.393836	108.6380183	396.613418	110.443158	395.1634697	157.5489041	486.9684004	162.1181907	488.3479374	189.8576575	327.9380472	126.5579212	302.5359276	68.20648277
15.428156	209.7824204	406.1212229	102.1787793	375.808191	166.5335451	482.1841561	165.6014979	482.3415461	227.4122614	338.5076833	153.1911745	321.5908849	76.12455458
15.454909	87.03162999	372.7452046	91.31416054	371.7499468	108.0326825	454.0265534	171.8812318	487.8997826	233.2248602	342.317455	215.5594145	330.3552484	21.3345344
15.490168	109.922046	380.2691437	84.49290947	371.1350164	156.9688944	477.8737536	175.1260792	491.0997158	240.5351335	348.3223644	230.2249514	332.39501	18.97315136
15.516	120.3323542	380.2668258	203.8619437	417.7975286	175.1767312	493.4066832	171.9674694	494.2003967	249.6644349	337.316429	237.0651447	327.4279168	16.01639124
15.554637	138.6129583	398.4484436	201.7694401	420.0543379	175.4780406	488.1755001	173.4675568	490.4791996	254.2903393	332.6079159	266.4507463	329.6533013	12.51420179
15.595593	188.670849	424.0075541	200.9661889	422.8191497	177.5485431	502.5676754	171.9596607	491.4170036	254.9149973	331.407048	266.7333414	329.3550888	11.99515717
15.649802	173.3761514	417.1327821	80.57508892	326.9491352	143.8170294	438.5374362	164.6325161	475.2973006	255.7941315	331.6751277	59.08911798	238.5011666	217.6562643
15.678576	176.6590923	420.1109177	206.0037695	418.0920933	147.108444	439.5988494	177.3836295	495.936816	254.8037375	331.4032481	64.49256749	236.0953839	212.8425014
15.723349	202.9837974	419.2360393	86.46001794	324.193367	208.1208962	491.1400702	173.0379833	488.3576651	249.6911859	333.4393619	57.35615652	232.1453786	217.3780913
15.761815	104.6196536	364.7942759	87.74647754	349.1619422	152.8153119	454.4663485	172.030889	475.3177818	232.3858524	334.3440692	67.91456408	238.1743981	190.5240413
15.788583	104.6196536	364.7942759	87.74647754	349.1619422	152.8153119	454.4663485	172.030889	475.3177818	232.3858524	334.3440692	67.91456408	238.1743981	190.5240413
15.824835	203.0435691	406.7344814	85.69248541	371.0383481	156.6948299	463.9355849	155.8628899	464.3782679	230.0016339	327.5554399	58.50728432	242.5371816	191.4116407
15.863251	201.7671601	412.5190753	99.85266066	388.0918653	194.6120349	485.1408986	92.73545796	443.8964844	213.4469996	322.2152389	195.1522602	312.05821	20.92516978
15.886862	109.2508588	396.5281113	106.1307796	395.4868373	165.208688	477.4365044	179.4695404	485.5825936	195.7402116	320.6590087	136.1092154	294.4811869	65.12398987
15.931371	128.021302	401.4520382	130.5808837	400.9607931	157.318671	500.4316634	175.8520603	502.6404426	178.3002873	309.6295142	133.4073102	296.7292756	46.7096944
15.959179	144.3010548	410.3975027	172.9802066	405.3540704	156.2918174	498.5694689	174.2167171	507.7255973	149.0324242	310.911072	130.9962837	298.8852368	21.67770914
15.992385	144.3010548	410.3975027	172.9802066	405.3540704	156.2918174	498.5694689	174.2167171	507.7255973	149.0324242	310.911072	130.9962837	298.8852368	21.67770914
16.019253	162.3281706	413.8929125	173.5773726	413.567607	160.8553852	507.4620775	175.4025945	513.9012722	139.5099898	302.2755996	138.3795522	293.8584478	8.49272237
16.064746	167.9703839	420.9864421	200.0479542	417.6535901	167.3853204	514.1971288	198.4146249	509.3583186	130.4738988	289.0335831	130.2559582	284.2589335	4.779621055
16.092526	175.2500874	416.8095665	172.2625661	412.7950967	169.3767289	514.6911479	204.9306907	511.9322258	118.7187652	278.0005928	118.906763	278.6296776	0.656575133
16.12874	196.9671465	417.8955268	135.2454896	411.9654745	183.0370714	518.983691	185.833764	515.8373738	131.6475027	260.1151546	126.1429961	263.6341804	6.533233218
16.156612	211.8349115	426.4972945	220.3970088	418.4181207	191.7486549	508.1836317	175.5095604	506.3764591	136.3973013	253.2164055	131.0928	256.6773316	6.333699045
16.197002	194.4115926	422.084182	224.0225635	418.8923045	191.9703003	511.8971152	184.009834	508.4198307	82.76589479	234.3639044	77.63132296	234.2096304	5.13688898
16.232256	194.4115926	422.084182	224.0225635	418.8923045	191.9703003	511.8971152	184.009834	508.4198307	82.76589479	234.3639044	77.63132296	234.2096304	5.13688898
16.258058	194.1310494	419.0789914	222.7126778	420.3720437	190.4253557	507.3771127	187.682811	503.3688746	89.1693519	224.3094145	85.83674687	228.0764379	5.029584592
16.289884	195.9323702	420.937082	218.8247431	421.3189294	194.4917315	512.4282588	205.1452684	516.8253359	121.6731897	210.7892677	70.65289093	199.9273278	52.1637099
16.325135	196.0024015	418.5368282	218.7416023	418.3425796	207.5357186	514.9960482	204.8918182	514.1543425	110.0699173	199.7040864	76.20607369	187.1239284	36.12506441
16.368825	184.6722626	418.2188944	213.7120015	421.5272754	201.2696452	507.0477414	204.3827517	505.1263831	93.28020504	168.9479724	83.56061527	171.4288401	10.0312078
16.395394	189.8717549	408.7460482	215.4373252	421.4622598	206.0237187	505.6034928	202.8850012	504.6541373	90.81858357	162.0237073	94.34836302	174.6760244	13.1354662
16.43162	189.2863874	413.0404912	215.9224906	429.0603721	202.1075891	507.8475727	209.6029532	506.6581043	95.97226866	161.615432	98.64157116	172.9791616	11.67302561
16.459435	189.2863874	413.0404912	215.9224906	429.0603721	202.1075891	507.8475727	209.6029532	506.6581043	95.97226866	161.615432	98.64157116	172.9791616	11.67302561
16.498894	189.0851851	413.7002599	217.5566178	425.3320313	209.9983661	505.4345513	209.0136339	504.1466668	88.00832548	163.5905391	96.06105226	174.3359375	13.42795572
16.521532	189.5902997	426.9938974	220.6646705	417.1918698	207.4658773	514.1803715	202.0709965	513.0654943	96.15321772	172.761582	89.37462001	174.297673	6.950464906
16.56095	192.0647267	419.9147313	212.4178092	422.708308	195.4272556	517.1689567	203.9559901	515.8379438	88.57275581	191.1619004	78.92209539	190.1626148	9.702258407
16.596283	179.9792908	418.854268	212.134682	421.8136704	192.8930569	513.0904593	208.2993373	513.9816771	123.645656	211.4192075	109.0453627	210.2445586	14.64746961
16.628035	182.9908652	411.9050568	216.3466303	413.7101015	212.6091698	503.2380837	191.796077	494.636316	98.23021796	221.4969715	92.8933419	228.0165712	8.425403592
16.656849	183.046609	413.0773498	218.9421966	409.8661691	196.4153696	502.1452836	205.469624	504.2907572	89.16559004	234.27153	80.86442881	233.0160012	8.395572071
16.697264	181.0999438	413.9678076	213.6255168	412.7153377	190.6270139	510.858881	211.9193823	510.8102429	131.5978386	249.8899942	129.5227003	251.588624	2.681705079
16.733529	166.5846721	416.0535095	204.9899304	418.8762312	181.1292026	513.0947152	180.7156265	509.5259302	125.2911448	277.2850613	132.5972573	276.3421085	7.366711548
16.761446	162.2116291	418.8579159	199.5272982	419.0477946	160.390169	509.2145702	203.2588309	511.6834494	121.223002	290.4877493	120.0892776	286.380829	4.260531125
16.80176	168.7851487	420.2234694	209.0721516	421.7231958	177.8174398	518.306975	175.9285893	516.9556329	125.7200533	295.7936945	128.3433586	294.2414351	3.048153496
16.825381	170.0496641	416.7307195	191.5851091	419.7360621	176.4918607	518.3654548	168.9386628	517.6454204	127.2232566	305.6332837	124.2530247	299.3705162	6.931416499
16.863935	170.0496641	416.7307195	191.5851091	419.7360621	176.4918607	518.3654548	168.9386628	517.6454204	127.2232566	305.6332837	124.2530247	299.3705162	6.931416499
16.893679	159.451833	414.2321635	182.3881703	415.2388588	159.9955542	511.1019957	184.3382554	514.2122522	151.7619923	306.875057	124.922483	295.5065585	29.14793337
16.928852	159.451833	414.2321635	182.3881703	415.2388588	159.9955542	511.1019957	184.3382554	514.2122522	151.7619923	306.875057	124.922483	295.5065585	29.14793337
16.955759	142.8204797	405.3302833	143.9115888	404.9648134	162.0004332	495.9276964	179.2645762	505.4245577	196.3603098	323.1962853	146.197296	316.015302	50.67439657
16.989948	128.7256619	410.3748176	175.4480218	415.703999	112.2809574	471.9169504	183.1019729	511.1032496	220.2163637	334.9043957	217.2878541	330.0324508	5.684365878
17.017827	115.8552332	411.1701651	136.7010617	411.2588537	114.0390169	468.2275961	187.4149213	504.818025	231.2676693	334.8842184	230.0142875	331.9364816	3.203141957
17.05618	117.5167574	400.4601243	126.8631065	398.8489102	155.1887768	489.8621413	184.3875395	501.5197136	234.3897814	335.1676496	239.6326681	332.2793425	5.98583148
17.089517	100.6861017	394.973477	162.7270413	412.5215072	158.8320199	483.4572972	179.7565813	494.8377462	236.5160658	331.9107186	237.5870927	327.1115409	4.917235531
17.133599	104.2381103	394.2487688	170.2927408	412.2774805	102.1477725	455.8152967	176.6192318	493.4398179	245.7744103	328.5719388	238.7908864	322.8565783	9.024131599
17.167756	108.8876307	379.6539853	169.7807484	404.8163531	105.0237111	448.6169671	175.027188	485.2752994	249.1297954	330.5582366	62.59203247	222.2939719	215.6791321
17.195525	80.11414762	361.6851213	83.0181291	349.115736	169.0255844	473.4325602	175.0080937	484.3709722	246.1634773	332.6793151	65.48744528	221.4714935	212.1579792
17.230855	80.11414762	361.6851213	83.0181291	349.115736	169.0255844	473.4325602	175.0080937	484.3709722	246.1634773	332.6793151	65.48744528	221.4714935	212.1579792
17.255603	82.70815601	367.4349845	167.1578231	407.6092838	177.3288166	477.1035232	172.0965315	465.9034153	237.8343492	330.7762342	64.0702897	229.0303152	201.3608214
17.290834	121.1439841	385.0168714	200.2681937	413.2431755	155.3537094	449.0644379	166.8828847	462.6155536	228.7925584	330.624202	233.5777906	321.4521142	10.34531982
17.31871	121.1671062	379.9493479	198.8981183	404.4673365	186.7361153	478.6331925	176.7229298	478.3156007	232.2306663	327.3730089	231.0088993	321.2906584	6.203845715
17.358146	173.1433533	386.4019562	86.83664047	367.0434095	217.6214813	469.2041966	176.145181	466.5552803	228.411433	324.4431314	207.8572623	314.7187348	22.73846571
17.382709	194.5197364	390.7769182	116.6447288	375.4607703	183.6316725	462.3132372	151.7875654	450.9650489	217.13643	321.8370395	195.4747918	313.8234512	23.09641025
17.422174	123.7744711	393.2376657	90.95912117	377.0978234	155.6885336	458.1941573	139.714631	455.1507022	198.5001596	324.6784943	156.6071293	308.332263	44.96915906
17.449871	119.4875327	394.5622568	105.8508633	379.8336424	145.1054839	463.3248723	181.8866276	481.1821346	194.9315266	317.0114148	145.7253921	301.4688336	51.60247572
17.485254	117.161737	408.1816178	129.9036357	407.5766431	80.62131414	438.5092412	187.4356305	489.5672346	179.7452578	315.1894417	145.678198	298.6113243	37.88665387
17.524685	129.5201734	406.041084	136.9870197	405.2203155	110.5650763	460.4751338	183.4920279	503.7545598	151.0455679	312.8339502	115.6755761	280.6054498	47.85094105
17.551601	149.6549922	413.7640975	160.6988502	411.3065038	156.8033538	501.4304171	175.7612438	511.5206256	136.9338597	310.0979602	128.4295583	303.5854853	10.71146454
17.59135	168.2152845	416.5067181	173.9373898	422.9900292	174.062025	516.9474632	204.8985439	507.1992036	120.3293524	302.0038151	126.2697402	300.0048828	6.267690035
17.627525	169.2010807	421.3859588	208.5776766	422.0159366	173.3563541	520.1757053	208.2085588	512.2180128	120.8988935	292.4172012	125.5559187	286.4769083	7.548176143
17.670232	164.1554254	415.0337047	181.2806648	415.155832	167.2800264	512.3312865	212.2525155	504.4392175	127.6847679	281.1358714	132.8108471	274.6639409	8.256062721
17.726338	164.1004415	413.3215285	174.947714	413.8035779	167.3272396	509.3913014	218.4525854	505.8545112	115.3139059	274.4644106	114.8683161	271.2222991	3.272588784
17.764853	184.2428411	413.2773362	134.323018	408.463301	185.4495987	505.8102809	155.6793189	493.881361	113.5713309	254.2433541	101.5816133	258.6803677	12.78438179
17.808902	180.5581986	412.5821528	208.9711135	421.2359405	179.9508299	509.3017768	186.3816269	506.5716956	142.7522343	247.7142358	143.1308518	250.5858235	2.89644045
17.84927	198.8997522	418.4739786	165.8729405	410.0112096	192.5348067	501.3578399	173.8399805	497.448094	132.7494794	236.5905619	135.6420613	237.2617301	2.969427046
17.892236	180.8177666	412.4287147	209.2489968	419.0274653	205.7076848	508.5578414	188.8348887	511.3636916	94.34228326	231.2599936	83.22261825	228.4039093	11.48059961
17.928415	180.8177666	412.4287147	209.2489968	419.0274653	205.7076848	508.5578414	188.8348887	511.3636916	94.34228326	231.2599936	83.22261825	228.4039093	11.48059961
17.957262	177.7918098	410.4222778	216.0454539	417.292414	206.0317364	505.1429885	202.786699	504.2381293	119.4213582	223.384796	95.59530414	231.3253891	25.11441561
17.99469	182.3763527	421.7477429	205.8194385	420.5439871	182.1759484	517.3606973	183.5771066	513.3442136	116.2880745	223.9960216	92.11287087	226.1695951	24.27271914
18.029028	174.8628253	418.1732581	204.0856791	418.8692014	187.0868419	518.8399045	181.8291738	514.4087427	106.8569887	215.6289138	96.92903393	218.1023529	10.2314313
18.0557	171.9894136	412.995311	207.108463	417.0276021	207.7372249	514.6399258	189.6573292	513.3098629	104.2164131	213.0059506	88.01472823	215.8459805	16.44871917
