time,x_LK,y_LK,x_RK,y_RK,x_LA,y_LA,x_RA,y_RA,,,,,
11.672128,249.2367613,414.9148833,171.641214,415.3995167,235.9180447,500.6906235,176.7635503,506.1413242,,,59.40508687,,-17.47832679
11.708624,242.7384788,416.7017647,173.5865683,415.5444431,236.4599039,504.6977596,177.8622781,509.1589023,,,58.76719785,,-185.3299388
11.75133,245.4501307,419.3850316,177.6605628,416.0552575,233.6553836,510.8350179,182.8341592,512.6181755,,,50.85249749,,0
11.788859,245.4501307,419.3850316,177.6605628,416.0552575,233.6553836,510.8350179,182.8341592,512.6181755,,,50.85249749,,-192.9240184
11.811368,246.3977383,417.9442789,181.0533196,412.6982764,231.588111,507.1761384,185.2987825,511.7011187,,,46.50997076,,244.0931808
11.848908,241.1051876,416.8995471,181.6323033,415.0432043,239.9820267,508.3094829,184.662079,514.5714145,,,55.67322876,,202.1025788
11.882114,241.3113296,415.9043653,180.7079508,414.3568367,241.093446,510.8608949,178.7092466,510.7838339,,,62.384247,,-288.7586305
11.910016,240.9011354,422.2939719,183.5997918,411.3825389,232.1164807,513.047369,177.8761096,509.975225,,,54.32730369,,314.1604946
11.935719,243.437082,417.8344632,182.6760852,410.7399836,235.7207943,514.0135199,173.36042,511.7299596,,,62.40217088,,-49.58384305
11.987188,248.3524213,412.9804536,184.6642449,397.473553,235.6913455,509.7640291,176.822258,498.9719115,,,59.85014006,,0
12.013957,248.3524213,412.9804536,184.6642449,397.473553,235.6913455,509.7640291,176.822258,498.9719115,,,59.85014006,,252.2403138
12.048336,248.3756004,412.2886141,184.0385229,397.1159107,244.1950769,493.7058837,175.6733911,493.5306724,,,68.52190981,,205.3826476
12.074106,250.9918759,414.8339844,183.7896325,393.9807271,243.8965984,491.0105332,170.1457434,487.943025,,,73.81462064,,-223.6836547
12.108346,251.4706575,414.0800553,181.9307439,396.2898985,241.301298,503.9208794,177.2331742,487.4329706,,,66.1556923,,-97.23506798
12.147816,250.67721,412.5696893,184.2760138,394.2087184,240.7939795,502.7752234,182.0900337,481.8621185,,,62.31782417,,-732.8244659
12.186585,252.7778073,411.693975,187.3647252,392.3917802,245.4210238,501.431101,213.4617051,490.104876,,,33.90695245,,187.5743483
12.223038,255.0346547,412.4261688,189.2008527,392.5887266,246.431215,498.099009,206.5582822,489.7161889,,,40.74460017,,0
12.245845,255.0346547,412.4261688,189.2008527,392.5887266,246.431215,498.099009,206.5582822,489.7161889,,,40.74460017,,41.86709444
12.284724,256.561854,413.0107764,188.8511521,392.7953247,245.3028484,497.5077897,203.6673152,489.6402298,,,42.37235093,,492.0969344
12.307667,255.4660901,416.3875167,187.2502736,394.2553426,244.7735287,503.7102535,195.4203779,482.6405186,,,53.6625309,,14.44931235
12.345115,255.3238236,416.9190403,187.8969708,398.2636947,240.4014546,502.9228098,188.8722793,486.1068215,,,54.20362875,,104.320959
12.379381,256.5411068,416.1219069,189.9964281,396.328391,238.1417954,502.7001383,181.0569674,493.775269,,,57.77829073,,-40.36412225
12.422407,256.3915446,412.6328809,191.118601,400.57165,242.3232308,501.9975073,186.431595,497.9006566,,,56.04158401,,0
12.446029,256.3915446,412.6328809,191.118601,400.57165,242.3232308,501.9975073,186.431595,497.9006566,,,56.04158401,,190.4882667
12.484421,256.1528757,415.9692288,189.0488205,407.9828475,246.1762068,506.1343704,182.8506885,508.0606685,,,63.35480954,,-196.0170715
12.517708,258.931329,412.7719176,189.713757,405.181481,243.9485804,507.0166206,187.1213065,506.4610819,,,56.82998929,,-78.60908905
12.544525,259.4900216,415.6898635,187.5590877,412.4120334,244.3647024,507.9909411,189.6725666,509.7964418,,,54.72192934,,0.78540615
