"time","x_LK","y_LK","x_RK","y_RK","x_LA","y_LA","x_RA","y_RA","x_LW","y_LW","x_RW","y_RW"
"4.581164","257.0974033222125","225.8707593628405","275.82363713483403","226.3183740994346","253.2022648080314","264.13542869953795","280.79714170225867","256.5690433487354","261.20252248563656","187.02358046950997","276.69207312439204","190.4270105027967"
"4.616149","257.09219300978845","221.02742829675344","271.9970757747903","219.3737526978964","253.60863545339862","256.65200366305936","259.2931874791008","255.61843955192126","253.7344248730849","179.65700807089007","272.9831737711272","178.6540313601958"
"4.649676","263.8578932943975","221.8636075624696","267.47005619984196","224.54696904638865","260.53747416099225","251.5185138390686","267.203301693215","250.59988011460365","253.3059314772313","164.62544220801925","268.60394833338404","166.63810664670478"
"4.680148","253.45893592686042","224.06377580100929","260.6329122461698","224.666047448778","253.28185275185436","257.54325373905647","256.8708643338096","257.34391291874397","246.99723798106155","181.0049782838339","264.06954326703857","188.8770352968446"
"4.715201","247.7747380000608","220.58541169519094","260.50149096774686","221.65499272327946","248.26477715755718","255.51851621397742","256.5124825206712","255.23361835405524","247.7715005243799","182.267121667528","266.97254724168596","190.57030252538306"
"4.750209","247.85690580731702","221.91402450145915","258.1267688320769","222.96724953261798","244.95638052498785","258.46161767388134","251.63443290027664","257.67652982125486","242.71471526743375","185.56212998920842","253.9351315034503","186.94129462928623"
"4.782201","245.39633998054475","219.8462555287877","254.34173821475258","219.76359872780887","244.86237569727325","257.184467241458","249.93443779258877","256.8298624832807","239.66074712731032","183.3602755654183","254.01129649121475","182.90621960116732"
"4.816262","242.82939272631933","219.75371768224102","248.89352191375852","219.74953594281982","240.29138041099225","257.58631891035384","243.44488406645186","255.86654484967778","240.45360829394153","181.1203808023772","248.56466520435617","181.00440498084873"
"4.850218","240.7682841853873","218.97574553137162","245.12788242681484","218.77030072045238","238.5727866799915","256.7501733683427","240.22624307476593","255.12219523270306","239.1454657766142","180.92181562727995","234.02905700921087","179.8747283104329"
"4.88225","234.7284192037026","216.7258348279426","245.6166569453733","216.87337603736017","233.1472832943215","254.6580896043592","240.51921776203795","253.06171058031373","229.64807793880718","176.51082245941757","242.6493924508299","176.6575205762099"
"4.915227","233.9401613228052","218.1030097694249","240.4676879407831","214.7420041570404","229.61588866237537","254.22592032465957","235.81730705290917","253.1430858805022","225.15997551944008","174.04298917421573","237.83273683540554","173.78132694704527"
"4.949246","231.32913718613207","219.75445960375123","242.08656067607006","216.0272482786661","224.49266770656007","248.75930774258273","236.15144152214557","255.4090490675158","213.56790719236383","176.81710114831594","237.9931436382843","174.65753625060802"
"4.982255","229.08354311694433","219.358543306937","238.8861810706469","216.90824634834024","231.17537395314022","253.90362287588158","234.52363200503103","253.99005673182154","212.18250366685922","176.5382398315905","232.82252401507785","176.5344965003344"
"5.016211","221.99637161433003","221.0958536942182","237.44005801427227","218.96583076209873","219.6967521697167","250.81247435098493","241.8821950237111","252.2327481874696","208.41315457236445","179.05014999924003","227.78459030923213","174.5021711416282"
"5.047278","217.97161603994408","221.30453598081834","234.34793150193033","220.52929545005475","219.92539888968264","251.94656882675707","240.85932132706105","253.56099003298277","207.46189316330253","182.2245286281007","224.55013289989665","178.15235752447109"
